ID,Drugname,Price,Stock,Form,Category
1,Paracetamol,52,29,Tablet,Antibiotic
2,Ibuprofen,57,27,Capsule,Antibiotic
3,Amoxicillin,72,6,Ointment,Antibiotic
4,Ciprofloxacin,300,16,Capsule,Hypertension
5,Azithromycin,174,6,Syrup,Allergy
6,Metformin,256,27,Ointment,Antifungal
7,Losartan,92,17,Capsule,Antibiotic
8,Atorvastatin,258,27,Syrup,Diabetes
9,Omeprazole,133,49,Capsule,Diabetes
10,Cetirizine,236,26,Injection,Cholesterol
11,Aspirin,109,4,Syrup,Cholesterol
12,Levothyroxine,180,30,Syrup,Diabetes
13,Pantoprazole,200,30,Capsule,Cholesterol
14,Clopidogrel,117,3,Tablet,Diabetes
15,Prednisone,294,26,Syrup,Allergy
16,Ranitidine,162,35,Capsule,Hypertension
17,Hydrochlorothiazide,233,37,Syrup,Antifungal
18,Amlodipine,121,7,Injection,Diabetes
19,Fluoxetine,205,17,Tablet,Antifungal
20,Sertraline,260,2,Injection,Diabetes
21,Simvastatin,118,34,Ointment,Diabetes
22,Metoprolol,105,8,Ointment,Painkiller
23,Lisinopril,277,9,Capsule,Allergy
24,Albuterol,278,44,Ointment,Allergy
25,Gabapentin,227,18,Tablet,Cholesterol
26,Tramadol,137,8,Syrup,Cholesterol
27,Lorazepam,247,13,Capsule,Allergy
28,Diazepam,294,25,Ointment,Hypertension
29,Doxycycline,295,29,Tablet,Hypertension
30,Nitrofurantoin,116,46,Capsule,Painkiller
31,Warfarin,126,40,Tablet,Diabetes
32,Insulin Glargine,261,29,Ointment,Diabetes
33,Sitagliptin,81,21,Capsule,Allergy
34,Glimepiride,170,12,Ointment,Cholesterol
35,Rosuvastatin,289,21,Syrup,Allergy
36,Furosemide,273,32,Syrup,Antifungal
37,Bisoprolol,252,21,Syrup,Diabetes
38,Esomeprazole,234,36,Syrup,Diabetes
39,Montelukast,164,13,Tablet,Cholesterol
40,Salbutamol,249,44,Capsule,Antibiotic
41,Ketoconazole,134,39,Tablet,Antibiotic
42,Betamethasone,229,8,Syrup,Antifungal
43,Chlorpheniramine,291,23,Capsule,Allergy
44,Terbinafine,55,11,Capsule,Allergy
45,Famotidine,161,27,Capsule,Antibiotic
46,Ondansetron,246,49,Ointment,Allergy
47,Loratadine,119,42,Syrup,Allergy
48,Methotrexate,102,6,Syrup,Diabetes
49,Duloxetine,85,24,Tablet,Cholesterol
