,Drugname,Price,Form,Category,ID
48,ABILIFY 5MG 10 TAB,11,Capsule,Antiviral,48
49,ABILIFY 5MG 10 TAB,11,Syrup,Antibiotic,49
56,ABILIFY 5MG TAB,13,Capsule,Antifungal,56
57,ABILIFY 5MG TAB,13,Ointment,Antiviral,57
58,ABILIFY 5MG TAB,13,Injection,Antiviral,58
64,ABIMOL 20TAB,23,Injection,Antiviral,64
65,ABIMOL 20TAB,23,Syrup,Vitamin,65
66,ABIMOL 20TAB,23,Capsule,Antiviral,66
78,ABIMOL 300MG RECTAL 5 SUPP,70,Tablet,Antiviral,78
79,ABIMOL 300MG RECTAL 5 SUPP,70,Tablet,Painkiller,79
80,ABIMOL 300MG RECTAL 5 SUPP,70,Ointment,Painkiller,80
81,ABIMOL 300MG RECTAL 5 SUPP,70,Syrup,Antibiotic,81
82,ABIMOL 300MG RECTAL 5 SUPP,70,Ointment,Antiviral,82
112,ABIMOL 500 MG 20 TAB,14,Syrup,Antifungal,112
113,ABIMOL 500 MG 20 TAB,14,Tablet,Antiviral,113
114,ABIMOL 500 MG 20 TAB,14,Tablet,Antibiotic,114
115,ABIMOL EXTRA 20 TAB,25,Capsule,Painkiller,115
116,ABIMOL EXTRA 20 TAB,25,Syrup,Antiviral,116
117,ABIMOL EXTRA 20 TAB,25,Injection,Antifungal,117
118,ABIMOL EXTRA 20 TAB,25,Syrup,Vitamin,118
119,ABIMOL EXTRA 20 TAB,25,Syrup,Antifungal,119
120,ABIMOL EXTRA 20 TAB,25,Capsule,Antifungal,120
151,ABIMOL EXTRA 20TAB,34,Capsule,Antiviral,151
152,ABIMOL EXTRA 20TAB,34,Injection,Antifungal,152
153,ABIMOL EXTRA 20TAB,34,Syrup,Painkiller,153
154,ABIMOL EXTRA 20TAB,34,Capsule,Antifungal,154
1209,ACECZEMA CREAM,12,Ointment,Painkiller,1209
1210,ACECZEMA CREAM,12,Tablet,Vitamin,1210
1211,ACECZEMA CREAM,12,Capsule,Antifungal,1211
1212,ACECZEMA CREAM 15 GM,27,Ointment,Antiviral,1212
1249,ACETAPAX 14 SACHETS,14,Syrup,Vitamin,1249
1250,ACETAPAX 14 SACHETS,14,Syrup,Antibiotic,1250
1251,ACETAPAX 14 SACHETS,14,Injection,Painkiller,1251
1332,ACETYLCICTEIN 600 MG EFF 10 SACHETS,13,Injection,Antifungal,1332
1333,ACETYLCICTEIN 600 MG EFF 10 SACHETS,13,Capsule,Antiviral,1333
1334,ACETYLCICTEIN 600 MG EFF 10 SACHETS,13,Capsule,Vitamin,1334
1335,ACETYLCICTEIN 600 MG EFF 10 SACHETS,13,Syrup,Antibiotic,1335
1355,ACETYLCICTEIN 600MG 10 SACHETS,18,Syrup,Painkiller,1355
1356,ACETYLCICTEIN 600MG 10 SACHETS,18,Tablet,Antiviral,1356
1357,ACETYLCICTEIN 600MG 10 SACHETS,18,Syrup,Antiviral,1357
1371,ACETYLCISTEIN 200MG 10 SACHETS,34,Syrup,Antifungal,1371
1372,ACETYLCISTEIN 200MG 10 SACHETS,34,Capsule,Painkiller,1372
1373,ACETYLCISTEIN 200MG 10 SACHETS,34,Injection,Painkiller,1373
1374,ACETYLCISTEIN 200MG 10 SACHETS,34,Injection,Painkiller,1374
1375,ACETYLCISTEIN 200MG 10 SACHETS,34,Tablet,Antiviral,1375
1376,ACETYLCISTEIN 200MG 10 SACHETS,34,Tablet,Painkiller,1376
1377,ACETYLCISTEIN 200MG 10 SACHETS,34,Syrup,Painkiller,1377
1378,ACETYLCISTEIN 200MG 10 SACHETS,34,Capsule,Antiviral,1378
1405,ACETYLCISTEIN 200MG 10 SACHETS,47,Injection,Antifungal,1405
1406,ACETYLCISTEIN 200MG 10 SACHETS,47,Ointment,Painkiller,1406
1407,ACETYLCISTEIN 200MG 10 SACHETS,47,Tablet,Antibiotic,1407
1408,ACETYLCISTEIN 200MG 10 SACHETS,47,Capsule,Antibiotic,1408
1409,ACETYLCISTEIN 200MG 10 SACHETS,47,Tablet,Antifungal,1409
1410,ACETYLCISTEIN 200MG 10 SACHETS,47,Injection,Antifungal,1410
1411,ACETYLCISTEIN 200MG 10 SACHETS,47,Capsule,Antibiotic,1411
1412,ACETYLCISTEIN 200MG 10 SACHETS,47,Syrup,Vitamin,1412
1523,ACHTENON 2MG 20TAB.,14,Syrup,Antifungal,1523
1524,ACHTENON 2MG 20TAB.,14,Syrup,Antiviral,1524
1525,ACHTENON 2MG 20TAB.,14,Capsule,Antiviral,1525
1526,ACHTENON 2MG 20TAB.,14,Syrup,Painkiller,1526
1527,ACHTENON 2MG 20TAB.,14,Syrup,Antibiotic,1527
1528,ACHTENON 2MG 20TAB.,14,Syrup,Antifungal,1528
1529,ACHTENON 2MG 20TAB.,14,Syrup,Vitamin,1529
1530,ACHTENON 2MG 20TAB.,14,Syrup,Painkiller,1530
1531,ACHTENON 2MG 20TAB.,14,Ointment,Antifungal,1531
1532,ACHTENON 2MG 20TAB.,14,Capsule,Antibiotic,1532
1543,ACHTENON 2MG 20TAB.,69,Injection,Antifungal,1543
1544,ACHTENON 2MG 20TAB.,69,Injection,Painkiller,1544
1545,ACHTENON 2MG 20TAB.,69,Tablet,Antifungal,1545
1546,ACHTENON 2MG 20TAB.,69,Tablet,Painkiller,1546
1547,ACHTENON 2MG 20TAB.,69,Tablet,Antiviral,1547
1548,ACHTENON 2MG 20TAB.,69,Tablet,Vitamin,1548
1549,ACHTENON 2MG 20TAB.,69,Ointment,Antibiotic,1549
1550,ACHTENON 2MG 20TAB.,69,Syrup,Painkiller,1550
1551,ACHTENON 2MG 20TAB.,69,Tablet,Painkiller,1551
1552,ACHTENON 2MG 20TAB.,69,Injection,Antifungal,1552
1589,ACHTENON 2MG 30TAB.,20,Ointment,Painkiller,1589
1590,ACHTENON 2MG 30TAB.,20,Tablet,Painkiller,1590
1591,ACHTENON 2MG 30TAB.,20,Tablet,Antifungal,1591
1592,ACHTENON 2MG 30TAB.,20,Ointment,Antifungal,1592
